cluster_id,conceptual_metaphor,confidence,document_date,document_id,mapping_id,mipvu_ids,period,register,rhetorical_salience,source_domain_primary,target_domain
am-rev-01-liberty-tyranny,ENEMY IS WAR COMBAT,0.76,1776-01,am-rev-paine-common-sense,amrev-cmt-001,am-rev-paine-common-sense_s01_p100_s01_lu051;am-rev-paine-common-sense_s01_p100_s01_lu070;am-rev-paine-common-sense_s01_p100_s01_lu072,,political-pamphlet,medium,war_combat,enemy
am-rev-02-people-republic,INDEPENDENCE IS SACRIFICE,0.84,1776-01,am-rev-paine-common-sense,amrev-cmt-002,am-rev-paine-common-sense_s01_p102_s06_lu012,,political-pamphlet,high,sacrifice,independence
am-rev-02-people-republic,INDEPENDENCE IS SACRIFICE,0.84,1776-01,am-rev-paine-common-sense,amrev-cmt-003,am-rev-paine-common-sense_s01_p108_s01_lu036,,political-pamphlet,high,sacrifice,independence
am-rev-02-people-republic,INDEPENDENCE IS SACRIFICE,0.84,1776-01,am-rev-paine-common-sense,amrev-cmt-004,am-rev-paine-common-sense_s01_p109_s07_lu065,,political-pamphlet,high,sacrifice,independence
am-rev-01-liberty-tyranny,FREEDOM IS SLAVERY BONDAGE,0.84,1776-01,am-rev-paine-common-sense,amrev-cmt-005,am-rev-paine-common-sense_s01_p111_s04_lu006,,political-pamphlet,high,slavery_bondage,freedom
am-rev-02-people-republic,INDEPENDENCE IS SACRIFICE,0.84,1776-01,am-rev-paine-common-sense,amrev-cmt-006,am-rev-paine-common-sense_s01_p116_s02_lu012,,political-pamphlet,high,sacrifice,independence
am-rev-06-union-founding-memory,GOVERNMENT IS BODY,0.78,1776-01,am-rev-paine-common-sense,amrev-cmt-007,am-rev-paine-common-sense_s01_p119_s03_lu013,,political-pamphlet,medium,body,government
am-rev-06-union-founding-memory,GOVERNMENT IS BODY,0.78,1776-01,am-rev-paine-common-sense,amrev-cmt-008,am-rev-paine-common-sense_s01_p145_s04_lu027,,political-pamphlet,medium,body,government
am-rev-06-union-founding-memory,GOVERNMENT IS BODY,0.78,1776-01,am-rev-paine-common-sense,amrev-cmt-009,am-rev-paine-common-sense_s01_p146_s08_lu026,,political-pamphlet,medium,body,government
am-rev-01-liberty-tyranny,FREEDOM IS SLAVERY BONDAGE,0.84,1776-01,am-rev-paine-common-sense,amrev-cmt-010,am-rev-paine-common-sense_s01_p148_s04_lu023,,political-pamphlet,high,slavery_bondage,freedom
am-rev-02-people-republic,INDEPENDENCE IS BIRTH GENERATION,0.88,1776-01,am-rev-paine-common-sense,amrev-cmt-011,am-rev-paine-common-sense_s01_p153_s01_lu002,,political-pamphlet,high,birth_generation,independence
am-rev-01-liberty-tyranny,FREEDOM IS SLAVERY BONDAGE,0.84,1776-01,am-rev-paine-common-sense,amrev-cmt-012,am-rev-paine-common-sense_s01_p153_s11_lu006,,political-pamphlet,high,slavery_bondage,freedom
am-rev-06-union-founding-memory,UNION IS AGRICULTURE,0.82,1776-01,am-rev-paine-common-sense,amrev-cmt-013,am-rev-paine-common-sense_s01_p154_s01_lu004,,political-pamphlet,high,agriculture,union
am-rev-02-people-republic,INDEPENDENCE IS BIRTH GENERATION,0.88,1776-01,am-rev-paine-common-sense,amrev-cmt-014,am-rev-paine-common-sense_s01_p171_s02_lu008;am-rev-paine-common-sense_s01_p171_s02_lu011;am-rev-paine-common-sense_s01_p171_s02_lu016;am-rev-paine-common-sense_s01_p171_s02_lu018,,political-pamphlet,high,birth_generation,independence
am-rev-02-people-republic,INDEPENDENCE IS SACRIFICE,0.84,1776-01,am-rev-paine-common-sense,amrev-cmt-015,am-rev-paine-common-sense_s01_p172_s04_lu036;am-rev-paine-common-sense_s01_p172_s04_lu039,,political-pamphlet,high,sacrifice,independence
am-rev-06-union-founding-memory,GOVERNMENT IS BODY,0.78,1776-01,am-rev-paine-common-sense,amrev-cmt-016,am-rev-paine-common-sense_s01_p189_s03_lu038,,political-pamphlet,medium,body,government
am-rev-01-liberty-tyranny,ENEMY IS WAR COMBAT,0.76,1776-01,am-rev-paine-common-sense,amrev-cmt-017,am-rev-paine-common-sense_s01_p190_s03_lu028;am-rev-paine-common-sense_s01_p190_s03_lu030,,political-pamphlet,medium,war_combat,enemy
am-rev-01-liberty-tyranny,FREEDOM IS SLAVERY BONDAGE,0.84,1776-01,am-rev-paine-common-sense,amrev-cmt-018,am-rev-paine-common-sense_s01_p190_s04_lu020,,political-pamphlet,high,slavery_bondage,freedom
am-rev-02-people-republic,INDEPENDENCE IS BIRTH GENERATION,0.88,1776-01,am-rev-paine-common-sense,amrev-cmt-019,am-rev-paine-common-sense_s01_p191_s07_lu002;am-rev-paine-common-sense_s01_p191_s07_lu006,,political-pamphlet,high,birth_generation,independence
am-rev-02-people-republic,INDEPENDENCE IS SACRIFICE,0.84,1776-01,am-rev-paine-common-sense,amrev-cmt-020,am-rev-paine-common-sense_s01_p193_s05_lu032,,political-pamphlet,high,sacrifice,independence
am-rev-06-union-founding-memory,GOVERNMENT IS BODY,0.78,1776-01,am-rev-paine-common-sense,amrev-cmt-021,am-rev-paine-common-sense_s01_p197_s01_lu019,,political-pamphlet,medium,body,government
am-rev-02-people-republic,INDEPENDENCE IS SACRIFICE,0.84,1776-01,am-rev-paine-common-sense,amrev-cmt-022,am-rev-paine-common-sense_s01_p199_s06_lu023,,political-pamphlet,high,sacrifice,independence
am-rev-02-people-republic,INDEPENDENCE IS BIRTH GENERATION,0.88,1776-01,am-rev-paine-common-sense,amrev-cmt-023,am-rev-paine-common-sense_s01_p208_s07_lu047,,political-pamphlet,high,birth_generation,independence
am-rev-06-union-founding-memory,GOVERNMENT IS BODY,0.78,1776-01,am-rev-paine-common-sense,amrev-cmt-024,am-rev-paine-common-sense_s01_p208_s09_lu054,,political-pamphlet,medium,body,government
am-rev-01-liberty-tyranny,ENEMY IS WAR COMBAT,0.76,1776-01,am-rev-paine-common-sense,amrev-cmt-025,am-rev-paine-common-sense_s01_p20_s03_lu007;am-rev-paine-common-sense_s01_p20_s03_lu009;am-rev-paine-common-sense_s01_p20_s03_lu026;am-rev-paine-common-sense_s01_p20_s03_lu029;am-rev-paine-common-sense_s01_p20_s03_lu038,,political-pamphlet,medium,war_combat,enemy
am-rev-01-liberty-tyranny,SOCIAL BODY IS BODY,0.88,1776-01,am-rev-paine-common-sense,amrev-cmt-026,am-rev-paine-common-sense_s01_p28_s05_lu001;am-rev-paine-common-sense_s01_p28_s05_lu004;am-rev-paine-common-sense_s01_p28_s05_lu007;am-rev-paine-common-sense_s01_p28_s05_lu035;am-rev-paine-common-sense_s01_p28_s05_lu038,,political-pamphlet,high,body,social_body
am-rev-05-virtue-corruption,SOCIAL BODY IS MECHANICS,0.84,1776-01,am-rev-paine-common-sense,amrev-cmt-027,am-rev-paine-common-sense_s01_p29_s01_lu005;am-rev-paine-common-sense_s01_p29_s01_lu006;am-rev-paine-common-sense_s01_p29_s01_lu009;am-rev-paine-common-sense_s01_p29_s01_lu046;am-rev-paine-common-sense_s01_p29_s01_lu048;am-rev-paine-common-sense_s01_p29_s01_lu096,,political-pamphlet,high,mechanics,social_body
am-rev-06-union-founding-memory,GOVERNMENT IS BODY,0.78,1776-01,am-rev-paine-common-sense,amrev-cmt-028,am-rev-paine-common-sense_s01_p31_s02_lu026;am-rev-paine-common-sense_s01_p31_s02_lu053,,political-pamphlet,medium,body,government
