claim_caution,cluster_mapping_count,conceptual_centrality,frequency_count_for_concept,ideological_force,mapping_id,rhetorical_salience
high salience is not the same as high frequency,12,high,3,violence_legitimation,amrev-cmt-001,medium
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-002,high
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-003,high
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-004,high
high salience is not the same as high frequency,12,high,6,legitimation,amrev-cmt-005,high
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-006,high
high salience is not the same as high frequency,17,high,11,legitimation,amrev-cmt-007,medium
high salience is not the same as high frequency,17,high,11,legitimation,amrev-cmt-008,medium
high salience is not the same as high frequency,17,high,11,legitimation,amrev-cmt-009,medium
high salience is not the same as high frequency,12,high,6,legitimation,amrev-cmt-010,high
high salience is not the same as high frequency,26,high,10,legitimation,amrev-cmt-011,high
high salience is not the same as high frequency,12,high,6,legitimation,amrev-cmt-012,high
high salience is not the same as high frequency,17,high,4,legitimation,amrev-cmt-013,high
high salience is not the same as high frequency,26,high,10,legitimation,amrev-cmt-014,high
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-015,high
high salience is not the same as high frequency,17,high,11,legitimation,amrev-cmt-016,medium
high salience is not the same as high frequency,12,high,3,violence_legitimation,amrev-cmt-017,medium
high salience is not the same as high frequency,12,high,6,legitimation,amrev-cmt-018,high
high salience is not the same as high frequency,26,high,10,legitimation,amrev-cmt-019,high
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-020,high
high salience is not the same as high frequency,17,high,11,legitimation,amrev-cmt-021,medium
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-022,high
high salience is not the same as high frequency,26,high,10,legitimation,amrev-cmt-023,high
high salience is not the same as high frequency,17,high,11,legitimation,amrev-cmt-024,medium
high salience is not the same as high frequency,12,high,3,violence_legitimation,amrev-cmt-025,medium
high salience is not the same as high frequency,12,high,2,legitimation,amrev-cmt-026,high
high salience is not the same as high frequency,1,local,1,legitimation,amrev-cmt-027,high
high salience is not the same as high frequency,17,high,11,legitimation,amrev-cmt-028,medium
high salience is not the same as high frequency,12,high,2,legitimation,amrev-cmt-029,high
high salience is not the same as high frequency,17,high,11,legitimation,amrev-cmt-030,medium
high salience is not the same as high frequency,12,high,6,legitimation,amrev-cmt-031,high
high salience is not the same as high frequency,17,high,11,legitimation,amrev-cmt-032,medium
high salience is not the same as high frequency,17,high,11,legitimation,amrev-cmt-033,medium
high salience is not the same as high frequency,17,high,11,legitimation,amrev-cmt-034,medium
high salience is not the same as high frequency,3,high,3,guilt_distribution,amrev-cmt-035,high
high salience is not the same as high frequency,3,high,3,guilt_distribution,amrev-cmt-036,high
high salience is not the same as high frequency,3,high,3,guilt_distribution,amrev-cmt-037,high
high salience is not the same as high frequency,17,high,4,legitimation,amrev-cmt-038,high
high salience is not the same as high frequency,17,high,4,legitimation,amrev-cmt-039,high
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-040,high
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-041,high
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-042,high
high salience is not the same as high frequency,12,high,6,legitimation,amrev-cmt-043,high
high salience is not the same as high frequency,17,high,4,legitimation,amrev-cmt-044,high
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-045,high
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-046,high
high salience is not the same as high frequency,26,high,10,legitimation,amrev-cmt-047,high
high salience is not the same as high frequency,26,high,10,legitimation,amrev-cmt-048,high
high salience is not the same as high frequency,26,high,10,legitimation,amrev-cmt-049,high
high salience is not the same as high frequency,26,high,10,legitimation,amrev-cmt-050,high
high salience is not the same as high frequency,26,high,10,legitimation,amrev-cmt-051,high
high salience is not the same as high frequency,26,high,10,legitimation,amrev-cmt-052,high
high salience is not the same as high frequency,26,high,13,sacrifice,amrev-cmt-053,high
high salience is not the same as high frequency,17,high,1,legitimation,amrev-cmt-054,high
high salience is not the same as high frequency,17,high,1,legitimation,amrev-cmt-055,medium
high salience is not the same as high frequency,26,high,3,legitimation,amrev-cmt-056,medium
high salience is not the same as high frequency,26,high,3,legitimation,amrev-cmt-057,medium
high salience is not the same as high frequency,26,high,3,legitimation,amrev-cmt-058,medium
high salience is not the same as high frequency,2,high,2,guilt_distribution,amrev-cmt-059,high
high salience is not the same as high frequency,12,high,1,legitimation,amrev-cmt-060,high
high salience is not the same as high frequency,2,high,2,guilt_distribution,amrev-cmt-061,medium
