average_confidence,document_count,high_salience_count,mapping_count,mapping_ids,metric,value
0.705,5,0,20,hitler-cmt-001;hitler-cmt-002;hitler-cmt-003;hitler-cmt-004;hitler-cmt-005;hitler-cmt-008;hitler-cmt-018;hitler-cmt-022;hitler-cmt-028;hitler-cmt-029;hitler-cmt-034;hitler-cmt-036;hitler-cmt-037;hitler-cmt-038;hitler-cmt-041;hitler-cmt-048;hitler-cmt-049;hitler-cmt-054;hitler-cmt-058;hitler-cmt-059,source_domain_primary,person_agency
0.78,7,0,16,hitler-cmt-016;hitler-cmt-017;hitler-cmt-039;hitler-cmt-044;hitler-cmt-045;hitler-cmt-047;hitler-cmt-050;hitler-cmt-051;hitler-cmt-052;hitler-cmt-053;hitler-cmt-055;hitler-cmt-056;hitler-cmt-061;hitler-cmt-062;hitler-cmt-063;hitler-cmt-064,source_domain_primary,physical_destruction
0.88,3,13,13,hitler-cmt-011;hitler-cmt-012;hitler-cmt-013;hitler-cmt-014;hitler-cmt-023;hitler-cmt-024;hitler-cmt-025;hitler-cmt-026;hitler-cmt-027;hitler-cmt-030;hitler-cmt-031;hitler-cmt-042;hitler-cmt-046,source_domain_primary,body
0.82,4,6,6,hitler-cmt-009;hitler-cmt-010;hitler-cmt-043;hitler-cmt-057;hitler-cmt-060;hitler-cmt-065,source_domain_primary,nature_organism
0.762,2,0,6,hitler-cmt-006;hitler-cmt-015;hitler-cmt-019;hitler-cmt-021;hitler-cmt-035;hitler-cmt-040,source_domain_primary,war_combat
0.835,1,4,4,hitler-cmt-007;hitler-cmt-020;hitler-cmt-032;hitler-cmt-033,source_domain_primary,ritual_religion
0.784,7,2,18,hitler-cmt-016;hitler-cmt-017;hitler-cmt-039;hitler-cmt-043;hitler-cmt-044;hitler-cmt-045;hitler-cmt-047;hitler-cmt-050;hitler-cmt-051;hitler-cmt-052;hitler-cmt-053;hitler-cmt-055;hitler-cmt-056;hitler-cmt-061;hitler-cmt-062;hitler-cmt-063;hitler-cmt-064;hitler-cmt-065,target_domain,purification
0.763,4,4,15,hitler-cmt-002;hitler-cmt-006;hitler-cmt-008;hitler-cmt-009;hitler-cmt-010;hitler-cmt-015;hitler-cmt-019;hitler-cmt-021;hitler-cmt-022;hitler-cmt-034;hitler-cmt-035;hitler-cmt-037;hitler-cmt-040;hitler-cmt-057;hitler-cmt-060,target_domain,racial_order
0.88,3,13,13,hitler-cmt-011;hitler-cmt-012;hitler-cmt-013;hitler-cmt-014;hitler-cmt-023;hitler-cmt-024;hitler-cmt-025;hitler-cmt-026;hitler-cmt-027;hitler-cmt-030;hitler-cmt-031;hitler-cmt-042;hitler-cmt-046,target_domain,racial_identity
0.68,4,0,9,hitler-cmt-001;hitler-cmt-003;hitler-cmt-004;hitler-cmt-005;hitler-cmt-018;hitler-cmt-029;hitler-cmt-038;hitler-cmt-041;hitler-cmt-059,target_domain,social_body
0.795,3,3,6,hitler-cmt-007;hitler-cmt-028;hitler-cmt-032;hitler-cmt-033;hitler-cmt-036;hitler-cmt-048,target_domain,sacrifice
0.71,2,0,3,hitler-cmt-049;hitler-cmt-054;hitler-cmt-058,target_domain,nation
0.82,1,1,1,hitler-cmt-020,target_domain,political_order
