cluster_id,conceptual_metaphor,confidence,document_date,document_id,mapping_id,mipvu_ids,period,register,rhetorical_salience,source_domain_primary,target_domain
hitler-01-volk-racial-body,SOCIAL BODY IS PERSON AGENCY,0.79,1925,hitler-mein-kampf-vol1-ch2-wien,hitler-cmt-001,hitler-mein-kampf-vol1-ch2-wien_s01_p344_s01_lu016;hitler-mein-kampf-vol1-ch2-wien_s01_p344_s01_lu033,,autobiography-political-polemic,medium,person_agency,social_body
hitler-01-volk-racial-body,RACIAL ORDER IS PERSON AGENCY,0.72,1925,hitler-mein-kampf-vol1-ch2-wien,hitler-cmt-002,hitler-mein-kampf-vol1-ch2-wien_s01_p377_s01_lu018,,autobiography-political-polemic,medium,person_agency,racial_order
hitler-01-volk-racial-body,SOCIAL BODY IS PERSON AGENCY,0.55,1925,hitler-mein-kampf-vol1-ch2-wien,hitler-cmt-003,hitler-mein-kampf-vol1-ch2-wien_s01_p56_s01_lu003,,autobiography-political-polemic,medium,person_agency,social_body
hitler-01-volk-racial-body,SOCIAL BODY IS PERSON AGENCY,0.55,1925,hitler-mein-kampf-vol1-ch2-wien,hitler-cmt-004,hitler-mein-kampf-vol1-ch2-wien_s01_p60_s01_lu002,,autobiography-political-polemic,medium,person_agency,social_body
hitler-01-volk-racial-body,SOCIAL BODY IS PERSON AGENCY,0.55,1925,hitler-mein-kampf-vol1-ch2-wien,hitler-cmt-005,hitler-mein-kampf-vol1-ch2-wien_s01_p65_s01_lu003,,autobiography-political-polemic,medium,person_agency,social_body
hitler-01-volk-racial-body,RACIAL ORDER IS WAR COMBAT,0.76,1925,hitler-mein-kampf-vol1-ch11-race-and-people,hitler-cmt-006,hitler-mein-kampf-vol1-ch11-race-and-people_s01_p09_s05_lu016,,autobiography-political-polemic,medium,war_combat,racial_order
hitler-06-sacrifice-martyrdom,SACRIFICE IS RITUAL RELIGION,0.84,1925,hitler-mein-kampf-vol1-ch11-race-and-people,hitler-cmt-007,hitler-mein-kampf-vol1-ch11-race-and-people_s01_p09_s06_lu021,,autobiography-political-polemic,high,ritual_religion,sacrifice
hitler-01-volk-racial-body,RACIAL ORDER IS PERSON AGENCY,0.72,1925,hitler-mein-kampf-vol1-ch11-race-and-people,hitler-cmt-008,hitler-mein-kampf-vol1-ch11-race-and-people_s01_p109_s04_lu004,,autobiography-political-polemic,medium,person_agency,racial_order
hitler-01-volk-racial-body,RACIAL ORDER IS NATURE ORGANISM,0.82,1925,hitler-mein-kampf-vol1-ch11-race-and-people,hitler-cmt-009,hitler-mein-kampf-vol1-ch11-race-and-people_s01_p130_s03_lu010,,autobiography-political-polemic,high,nature_organism,racial_order
hitler-01-volk-racial-body,RACIAL ORDER IS NATURE ORGANISM,0.82,1925,hitler-mein-kampf-vol1-ch11-race-and-people,hitler-cmt-010,hitler-mein-kampf-vol1-ch11-race-and-people_s01_p133_s03_lu008,,autobiography-political-polemic,high,nature_organism,racial_order
