claim_caution,cluster_mapping_count,conceptual_centrality,frequency_count_for_concept,ideological_force,mapping_id,rhetorical_salience
high salience is not the same as high frequency,40,high,9,legitimation,hitler-cmt-001,medium
high salience is not the same as high frequency,40,high,5,legitimation,hitler-cmt-002,medium
high salience is not the same as high frequency,40,high,9,legitimation,hitler-cmt-003,medium
high salience is not the same as high frequency,40,high,9,legitimation,hitler-cmt-004,medium
high salience is not the same as high frequency,40,high,9,legitimation,hitler-cmt-005,medium
high salience is not the same as high frequency,40,high,6,violence_legitimation,hitler-cmt-006,medium
high salience is not the same as high frequency,3,high,3,sacrifice,hitler-cmt-007,high
high salience is not the same as high frequency,40,high,5,legitimation,hitler-cmt-008,medium
high salience is not the same as high frequency,40,high,4,legitimation,hitler-cmt-009,high
high salience is not the same as high frequency,40,high,4,legitimation,hitler-cmt-010,high
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-011,high
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-012,high
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-013,high
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-014,high
high salience is not the same as high frequency,40,high,6,violence_legitimation,hitler-cmt-015,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-016,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-017,medium
high salience is not the same as high frequency,40,high,9,legitimation,hitler-cmt-018,medium
high salience is not the same as high frequency,40,high,6,violence_legitimation,hitler-cmt-019,medium
high salience is not the same as high frequency,40,high,1,legitimation,hitler-cmt-020,high
high salience is not the same as high frequency,40,high,6,violence_legitimation,hitler-cmt-021,medium
high salience is not the same as high frequency,40,high,5,legitimation,hitler-cmt-022,medium
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-023,high
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-024,high
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-025,high
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-026,high
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-027,high
high salience is not the same as high frequency,6,high,3,legitimation,hitler-cmt-028,medium
high salience is not the same as high frequency,40,high,9,legitimation,hitler-cmt-029,medium
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-030,high
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-031,high
high salience is not the same as high frequency,3,high,3,sacrifice,hitler-cmt-032,high
high salience is not the same as high frequency,3,high,3,sacrifice,hitler-cmt-033,high
high salience is not the same as high frequency,40,high,5,legitimation,hitler-cmt-034,medium
high salience is not the same as high frequency,40,high,6,violence_legitimation,hitler-cmt-035,medium
high salience is not the same as high frequency,6,high,3,legitimation,hitler-cmt-036,medium
high salience is not the same as high frequency,40,high,5,legitimation,hitler-cmt-037,medium
high salience is not the same as high frequency,40,high,9,legitimation,hitler-cmt-038,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-039,medium
high salience is not the same as high frequency,40,high,6,violence_legitimation,hitler-cmt-040,medium
high salience is not the same as high frequency,40,high,9,legitimation,hitler-cmt-041,medium
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-042,high
high salience is not the same as high frequency,40,high,2,legitimation,hitler-cmt-043,high
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-044,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-045,medium
high salience is not the same as high frequency,40,high,13,legitimation,hitler-cmt-046,high
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-047,medium
high salience is not the same as high frequency,6,high,3,legitimation,hitler-cmt-048,medium
high salience is not the same as high frequency,6,high,3,obligation,hitler-cmt-049,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-050,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-051,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-052,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-053,medium
high salience is not the same as high frequency,6,high,3,obligation,hitler-cmt-054,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-055,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-056,medium
high salience is not the same as high frequency,40,high,4,legitimation,hitler-cmt-057,high
high salience is not the same as high frequency,6,high,3,obligation,hitler-cmt-058,medium
high salience is not the same as high frequency,40,high,9,legitimation,hitler-cmt-059,medium
high salience is not the same as high frequency,40,high,4,legitimation,hitler-cmt-060,high
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-061,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-062,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-063,medium
high salience is not the same as high frequency,16,high,16,legitimation,hitler-cmt-064,medium
high salience is not the same as high frequency,40,high,2,legitimation,hitler-cmt-065,high
