cluster_id,conceptual_metaphor,confidence,document_date,document_id,mapping_id,mipvu_ids,period,register,rhetorical_salience,source_domain_primary,target_domain
lincoln-05-fathers-inheritance,HISTORY IS DEBT ACCOUNTING,0.82,1838-01-27,lincoln-lyceum-address,lincoln-cmt-001,lincoln-lyceum-address_s01_p04_s01_lu004;lincoln-lyceum-address_s01_p04_s01_lu017;lincoln-lyceum-address_s01_p04_s01_lu018,early-republican-rhetoric,public-address,high,debt_accounting,history
lincoln-05-fathers-inheritance,HISTORY IS THEATER STAGE,0.86,1838-01-27,lincoln-lyceum-address,lincoln-cmt-002,lincoln-lyceum-address_s01_p04_s04_lu003;lincoln-lyceum-address_s01_p04_s04_lu005;lincoln-lyceum-address_s01_p04_s04_lu007,early-republican-rhetoric,public-address,high,theater_stage,history
lincoln-01-body-organism,GOVERNMENT IS ARCHITECTURE BUILDING,0.83,1838-01-27,lincoln-lyceum-address,lincoln-cmt-003,lincoln-lyceum-address_s01_p04_s06_lu023;lincoln-lyceum-address_s01_p04_s06_lu032;lincoln-lyceum-address_s01_p04_s06_lu043;lincoln-lyceum-address_s01_p04_s06_lu047;lincoln-lyceum-address_s01_p04_s06_lu056;lincoln-lyceum-address_s01_p04_s06_lu063,early-republican-rhetoric,public-address,high,architecture_building,government
lincoln-01-body-organism,ENEMY IS BODY,0.9,1838-01-27,lincoln-lyceum-address,lincoln-cmt-004,lincoln-lyceum-address_s01_p05_s04_lu007;lincoln-lyceum-address_s01_p05_s04_lu009;lincoln-lyceum-address_s01_p05_s04_lu013;lincoln-lyceum-address_s01_p05_s04_lu017,early-republican-rhetoric,public-address,high,body,enemy
lincoln-01-body-organism,POLITICAL ORDER IS NATURE ORGANISM,0.72,1838-01-27,lincoln-lyceum-address,lincoln-cmt-005,lincoln-lyceum-address_s01_p06_s02_lu010,early-republican-rhetoric,public-address,medium,nature_organism,political_order
lincoln-01-body-organism,NATION IS BIRTH GENERATION,0.78,1838-01-27,lincoln-lyceum-address,lincoln-cmt-006,lincoln-lyceum-address_s01_p06_s03_lu011;lincoln-lyceum-address_s01_p06_s03_lu013,early-republican-rhetoric,public-address,medium,birth_generation,nation
lincoln-01-body-organism,NATION IS NATURE ORGANISM,0.937,1838-01-27,lincoln-lyceum-address,lincoln-cmt-007,lincoln-lyceum-address_s01_p06_s04_lu008;lincoln-lyceum-address_s01_p06_s04_lu013;lincoln-lyceum-address_s01_p06_s04_lu015,early-republican-rhetoric,public-address,high,nature_organism,nation
lincoln-01-body-organism,POLITICAL IDENTITY IS BODY,0.74,1838-01-27,lincoln-lyceum-address,lincoln-cmt-008,lincoln-lyceum-address_s01_p07_s02_lu018;lincoln-lyceum-address_s01_p07_s02_lu020;lincoln-lyceum-address_s01_p07_s02_lu026,early-republican-rhetoric,public-address,medium,body,political_identity
lincoln-01-body-organism,POLITICAL ORDER IS NATURE ORGANISM,0.72,1838-01-27,lincoln-lyceum-address,lincoln-cmt-009,lincoln-lyceum-address_s01_p07_s05_lu033,early-republican-rhetoric,public-address,medium,nature_organism,political_order
lincoln-01-body-organism,POLITICAL ORDER IS NATURE ORGANISM,0.72,1838-01-27,lincoln-lyceum-address,lincoln-cmt-010,lincoln-lyceum-address_s01_p07_s06_lu003,early-republican-rhetoric,public-address,medium,nature_organism,political_order
lincoln-01-body-organism,POLITICAL ORDER IS OBJECT MATERIAL,0.82,1838-01-27,lincoln-lyceum-address,lincoln-cmt-011,lincoln-lyceum-address_s01_p08_s05_lu043;lincoln-lyceum-address_s01_p08_s05_lu053,early-republican-rhetoric,public-address,high,object_material,political_order
lincoln-08-sacrificial-death-gift,POLITICAL ORDER IS SACRIFICE,0.82,1838-01-27,lincoln-lyceum-address,lincoln-cmt-012,lincoln-lyceum-address_s01_p09_s02_lu006,early-republican-rhetoric,public-address,high,sacrifice,political_order
lincoln-08-sacrificial-death-gift,WAR DEATH IS THEATER STAGE,0.78,1838-01-27,lincoln-lyceum-address,lincoln-cmt-013,lincoln-lyceum-address_s01_p11_s05_lu005;lincoln-lyceum-address_s01_p11_s05_lu008;lincoln-lyceum-address_s01_p11_s05_lu010,early-republican-rhetoric,public-address,medium,theater_stage,war_death
lincoln-01-body-organism,POLITICAL ORDER IS BODY,0.82,1838-01-27,lincoln-lyceum-address,lincoln-cmt-014,lincoln-lyceum-address_s01_p11_s11_lu013;lincoln-lyceum-address_s01_p11_s11_lu025;lincoln-lyceum-address_s01_p11_s11_lu026;lincoln-lyceum-address_s01_p11_s11_lu029;lincoln-lyceum-address_s01_p11_s11_lu044;lincoln-lyceum-address_s01_p11_s11_lu045;lincoln-lyceum-address_s01_p11_s11_lu048;lincoln-lyceum-address_s01_p11_s11_lu057,early-republican-rhetoric,public-address,high,body,political_order
lincoln-01-body-organism,GOVERNMENT IS BODY,0.74,1838-01-27,lincoln-lyceum-address,lincoln-cmt-015,lincoln-lyceum-address_s01_p11_s14_lu008;lincoln-lyceum-address_s01_p11_s14_lu028,early-republican-rhetoric,public-address,medium,body,government
lincoln-08-sacrificial-death-gift,CITIZENSHIP IS SACRIFICE,0.82,1838-01-27,lincoln-lyceum-address,lincoln-cmt-016,lincoln-lyceum-address_s01_p11_s15_lu026;lincoln-lyceum-address_s01_p11_s15_lu028,early-republican-rhetoric,public-address,high,sacrifice,citizenship
lincoln-01-body-organism,NATION IS NATURE ORGANISM,0.72,1838-01-27,lincoln-lyceum-address,lincoln-cmt-017,lincoln-lyceum-address_s01_p12_s01_lu025,early-republican-rhetoric,public-address,medium,nature_organism,nation
lincoln-08-sacrificial-death-gift,CITIZENSHIP IS SACRIFICE,0.82,1838-01-27,lincoln-lyceum-address,lincoln-cmt-018,lincoln-lyceum-address_s01_p14_s03_lu016,early-republican-rhetoric,public-address,high,sacrifice,citizenship
lincoln-08-sacrificial-death-gift,CITIZENSHIP IS SACRIFICE,0.775,1838-01-27,lincoln-lyceum-address,lincoln-cmt-019,lincoln-lyceum-address_s01_p14_s05_lu012;lincoln-lyceum-address_s01_p14_s05_lu015;lincoln-lyceum-address_s01_p14_s05_lu021;lincoln-lyceum-address_s01_p14_s05_lu023,early-republican-rhetoric,public-address,medium,sacrifice,citizenship
lincoln-02-covenant-oath,LAW IS RELIGION PROVIDENCE,0.78,1838-01-27,lincoln-lyceum-address,lincoln-cmt-020,lincoln-lyceum-address_s01_p14_s06_lu007,early-republican-rhetoric,public-address,medium,religion_providence,law
lincoln-02-covenant-oath,LAW IS RELIGION PROVIDENCE,0.885,1838-01-27,lincoln-lyceum-address,lincoln-cmt-021,lincoln-lyceum-address_s01_p14_s07_lu008;lincoln-lyceum-address_s01_p14_s07_lu009;lincoln-lyceum-address_s01_p14_s07_lu039;lincoln-lyceum-address_s01_p14_s07_lu043,early-republican-rhetoric,public-address,high,religion_providence,law
lincoln-01-body-organism,GOVERNMENT IS ARCHITECTURE BUILDING,0.86,1838-01-27,lincoln-lyceum-address,lincoln-cmt-022,lincoln-lyceum-address_s01_p19_s05_lu004;lincoln-lyceum-address_s01_p19_s05_lu006;lincoln-lyceum-address_s01_p19_s05_lu014;lincoln-lyceum-address_s01_p19_s05_lu016,early-republican-rhetoric,public-address,high,architecture_building,government
lincoln-03-experiment-proposition,REPUBLIC IS EXPERIMENT SCIENCE,0.74,1838-01-27,lincoln-lyceum-address,lincoln-cmt-023,lincoln-lyceum-address_s01_p19_s06_lu013;lincoln-lyceum-address_s01_p19_s06_lu021,early-republican-rhetoric,public-address,medium,experiment_science,republic
lincoln-03-experiment-proposition,REPUBLIC IS EXPERIMENT SCIENCE,0.74,1838-01-27,lincoln-lyceum-address,lincoln-cmt-024,lincoln-lyceum-address_s01_p19_s07_lu019,early-republican-rhetoric,public-address,medium,experiment_science,republic
