claim_caution,cluster_mapping_count,conceptual_centrality,frequency_count_for_concept,ideological_force,mapping_id,rhetorical_salience
high salience is not the same as high frequency,6,high,1,legitimation,lincoln-cmt-001,high
high salience is not the same as high frequency,6,high,1,legitimation,lincoln-cmt-002,high
high salience is not the same as high frequency,43,high,4,legitimation,lincoln-cmt-003,high
high salience is not the same as high frequency,43,high,1,legitimation,lincoln-cmt-004,high
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-005,medium
high salience is not the same as high frequency,43,high,2,obligation,lincoln-cmt-006,medium
high salience is not the same as high frequency,43,high,4,obligation,lincoln-cmt-007,high
high salience is not the same as high frequency,43,high,1,legitimation,lincoln-cmt-008,medium
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-009,medium
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-010,medium
high salience is not the same as high frequency,43,high,2,legitimation,lincoln-cmt-011,high
high salience is not the same as high frequency,5,high,1,sacrifice,lincoln-cmt-012,high
high salience is not the same as high frequency,5,high,1,legitimation,lincoln-cmt-013,medium
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-014,high
high salience is not the same as high frequency,43,high,1,legitimation,lincoln-cmt-015,medium
high salience is not the same as high frequency,5,high,3,sacrifice,lincoln-cmt-016,high
high salience is not the same as high frequency,43,high,4,obligation,lincoln-cmt-017,medium
high salience is not the same as high frequency,5,high,3,sacrifice,lincoln-cmt-018,high
high salience is not the same as high frequency,5,high,3,sacrifice,lincoln-cmt-019,medium
high salience is not the same as high frequency,4,high,2,guilt_distribution,lincoln-cmt-020,medium
high salience is not the same as high frequency,4,high,2,guilt_distribution,lincoln-cmt-021,high
high salience is not the same as high frequency,43,high,4,legitimation,lincoln-cmt-022,high
high salience is not the same as high frequency,3,high,3,obligation,lincoln-cmt-023,medium
high salience is not the same as high frequency,3,high,3,obligation,lincoln-cmt-024,medium
high salience is not the same as high frequency,43,high,2,legitimation,lincoln-cmt-025,medium
high salience is not the same as high frequency,6,high,3,legitimation,lincoln-cmt-026,medium
high salience is not the same as high frequency,6,high,3,legitimation,lincoln-cmt-027,medium
high salience is not the same as high frequency,3,high,3,obligation,lincoln-cmt-028,medium
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-029,high
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-030,high
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-031,high
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-032,medium
high salience is not the same as high frequency,43,high,4,legitimation,lincoln-cmt-033,high
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-034,medium
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-035,medium
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-036,medium
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-037,medium
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-038,medium
high salience is not the same as high frequency,43,high,7,legitimation,lincoln-cmt-039,medium
high salience is not the same as high frequency,43,high,4,legitimation,lincoln-cmt-040,high
high salience is not the same as high frequency,43,high,3,legitimation,lincoln-cmt-041,medium
high salience is not the same as high frequency,6,high,3,legitimation,lincoln-cmt-042,medium
high salience is not the same as high frequency,43,high,3,legitimation,lincoln-cmt-043,high
high salience is not the same as high frequency,6,high,1,violence_legitimation,lincoln-cmt-044,high
high salience is not the same as high frequency,43,high,1,legitimation,lincoln-cmt-045,high
high salience is not the same as high frequency,43,high,2,legitimation,lincoln-cmt-046,high
high salience is not the same as high frequency,43,high,3,legitimation,lincoln-cmt-047,medium
high salience is not the same as high frequency,43,high,3,legitimation,lincoln-cmt-048,medium
high salience is not the same as high frequency,43,high,3,legitimation,lincoln-cmt-049,medium
high salience is not the same as high frequency,43,high,2,legitimation,lincoln-cmt-050,high
high salience is not the same as high frequency,43,high,2,obligation,lincoln-cmt-051,high
high salience is not the same as high frequency,43,high,4,obligation,lincoln-cmt-052,medium
high salience is not the same as high frequency,43,high,2,legitimation,lincoln-cmt-053,high
high salience is not the same as high frequency,43,high,3,legitimation,lincoln-cmt-054,high
high salience is not the same as high frequency,2,high,1,guilt_distribution,lincoln-cmt-055,high
high salience is not the same as high frequency,43,high,1,violence_legitimation,lincoln-cmt-056,medium
high salience is not the same as high frequency,4,high,2,legitimation,lincoln-cmt-057,high
high salience is not the same as high frequency,43,high,4,obligation,lincoln-cmt-058,high
high salience is not the same as high frequency,4,high,2,legitimation,lincoln-cmt-059,high
high salience is not the same as high frequency,43,high,1,legitimation,lincoln-cmt-060,high
high salience is not the same as high frequency,2,high,1,guilt_distribution,lincoln-cmt-061,medium
high salience is not the same as high frequency,43,high,2,legitimation,lincoln-cmt-062,high
high salience is not the same as high frequency,1,local,1,legitimation,lincoln-cmt-063,medium
high salience is not the same as high frequency,43,high,1,obligation,lincoln-cmt-064,high
