case_id,document_id,sentence_id,mipvu_id,lexical_unit,lemma,language,unit_ordinal,sentence_unit_ordinal,sentence_text,semantic_control_term,semantic_control_risk,current_review_status,current_decision_type,decision_type,contextual_meaning,basic_meaning,basic_meaning_source,contrast_explanation,comparison_basis,confidence,review_notes,semantic_shift_risk,candidate_source_domain,candidate_target_domain,review_status,annotator
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,lincoln-lyceum-address_s01_p01_s01_lu001,ADDRESS,address,en,1,1,"ADDRESS BEFORE THE YOUNG MEN'S LYCEUM OF SPRINGFIELD, ILLINOIS.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,lincoln-lyceum-address_s01_p01_s01_lu002,BEFORE,before,en,2,2,"ADDRESS BEFORE THE YOUNG MEN'S LYCEUM OF SPRINGFIELD, ILLINOIS.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,lincoln-lyceum-address_s01_p01_s01_lu003,THE,the,en,3,3,"ADDRESS BEFORE THE YOUNG MEN'S LYCEUM OF SPRINGFIELD, ILLINOIS.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,lincoln-lyceum-address_s01_p01_s01_lu004,YOUNG,young,en,4,4,"ADDRESS BEFORE THE YOUNG MEN'S LYCEUM OF SPRINGFIELD, ILLINOIS.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,lincoln-lyceum-address_s01_p01_s01_lu005,MEN'S,men's,en,5,5,"ADDRESS BEFORE THE YOUNG MEN'S LYCEUM OF SPRINGFIELD, ILLINOIS.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,lincoln-lyceum-address_s01_p01_s01_lu006,LYCEUM,lyceum,en,6,6,"ADDRESS BEFORE THE YOUNG MEN'S LYCEUM OF SPRINGFIELD, ILLINOIS.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,lincoln-lyceum-address_s01_p01_s01_lu007,OF,of,en,7,7,"ADDRESS BEFORE THE YOUNG MEN'S LYCEUM OF SPRINGFIELD, ILLINOIS.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,lincoln-lyceum-address_s01_p01_s01_lu008,SPRINGFIELD,springfield,en,8,8,"ADDRESS BEFORE THE YOUNG MEN'S LYCEUM OF SPRINGFIELD, ILLINOIS.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,lincoln-lyceum-address_s01_p01_s01_lu009,ILLINOIS,illinois,en,9,9,"ADDRESS BEFORE THE YOUNG MEN'S LYCEUM OF SPRINGFIELD, ILLINOIS.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p02_s01,lincoln-lyceum-address_s01_p02_s01_lu001,January,january,en,10,1,"January 27, 1837.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
