batch_id,coder_id,case_id,document_id,sentence_id,mipvu_id,lexical_unit,lemma,language,sentence_unit_ordinal,sentence_text,semantic_control_term,semantic_control_risk,decision_type,contextual_meaning,basic_meaning,basic_meaning_source,contrast_explanation,comparison_basis,confidence,review_notes,semantic_shift_risk,candidate_source_domain,candidate_target_domain,review_status,annotator
lincoln-reliability-v1,codex-coder-b,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,lincoln-lyceum-address_s01_p04_s06_lu001,Theirs,theirs,en,1,"Theirs was the task (and nobly they performed it) to possess themselves, and through themselves us, of this goodly land, and to uprear upon its hills and its valleys a political edifice of liberty and equal rights; it is ours only to transmit these--the former unprofaned by the foot of an invader, the latter undecayed by the lapse of time and untorn by usurpation--to the latest generation that fate shall permit the world to know.",,,non_metaphor,,,,,,,,,,,reviewed,codex-coder-b
lincoln-reliability-v1,codex-coder-b,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,lincoln-lyceum-address_s01_p04_s06_lu002,was,was,en,2,"Theirs was the task (and nobly they performed it) to possess themselves, and through themselves us, of this goodly land, and to uprear upon its hills and its valleys a political edifice of liberty and equal rights; it is ours only to transmit these--the former unprofaned by the foot of an invader, the latter undecayed by the lapse of time and untorn by usurpation--to the latest generation that fate shall permit the world to know.",,,non_metaphor,,,,,,,,,,,reviewed,codex-coder-b
lincoln-reliability-v1,codex-coder-b,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,lincoln-lyceum-address_s01_p04_s06_lu003,the,the,en,3,"Theirs was the task (and nobly they performed it) to possess themselves, and through themselves us, of this goodly land, and to uprear upon its hills and its valleys a political edifice of liberty and equal rights; it is ours only to transmit these--the former unprofaned by the foot of an invader, the latter undecayed by the lapse of time and untorn by usurpation--to the latest generation that fate shall permit the world to know.",,,non_metaphor,,,,,,,,,,,reviewed,codex-coder-b
lincoln-reliability-v1,codex-coder-b,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,lincoln-lyceum-address_s01_p04_s06_lu004,task,task,en,4,"Theirs was the task (and nobly they performed it) to possess themselves, and through themselves us, of this goodly land, and to uprear upon its hills and its valleys a political edifice of liberty and equal rights; it is ours only to transmit these--the former unprofaned by the foot of an invader, the latter undecayed by the lapse of time and untorn by usurpation--to the latest generation that fate shall permit the world to know.",,,non_metaphor,,,,,,,,,,,reviewed,codex-coder-b
lincoln-reliability-v1,codex-coder-b,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,lincoln-lyceum-address_s01_p04_s06_lu005,and,and,en,5,"Theirs was the task (and nobly they performed it) to possess themselves, and through themselves us, of this goodly land, and to uprear upon its hills and its valleys a political edifice of liberty and equal rights; it is ours only to transmit these--the former unprofaned by the foot of an invader, the latter undecayed by the lapse of time and untorn by usurpation--to the latest generation that fate shall permit the world to know.",,,non_metaphor,,,,,,,,,,,reviewed,codex-coder-b
lincoln-reliability-v1,codex-coder-b,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,lincoln-lyceum-address_s01_p04_s06_lu006,nobly,nobly,en,6,"Theirs was the task (and nobly they performed it) to possess themselves, and through themselves us, of this goodly land, and to uprear upon its hills and its valleys a political edifice of liberty and equal rights; it is ours only to transmit these--the former unprofaned by the foot of an invader, the latter undecayed by the lapse of time and untorn by usurpation--to the latest generation that fate shall permit the world to know.",,,non_metaphor,,,,,,,,,,,reviewed,codex-coder-b
lincoln-reliability-v1,codex-coder-b,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,lincoln-lyceum-address_s01_p04_s06_lu007,they,they,en,7,"Theirs was the task (and nobly they performed it) to possess themselves, and through themselves us, of this goodly land, and to uprear upon its hills and its valleys a political edifice of liberty and equal rights; it is ours only to transmit these--the former unprofaned by the foot of an invader, the latter undecayed by the lapse of time and untorn by usurpation--to the latest generation that fate shall permit the world to know.",,,non_metaphor,,,,,,,,,,,reviewed,codex-coder-b
lincoln-reliability-v1,codex-coder-b,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,lincoln-lyceum-address_s01_p04_s06_lu008,performed,performed,en,8,"Theirs was the task (and nobly they performed it) to possess themselves, and through themselves us, of this goodly land, and to uprear upon its hills and its valleys a political edifice of liberty and equal rights; it is ours only to transmit these--the former unprofaned by the foot of an invader, the latter undecayed by the lapse of time and untorn by usurpation--to the latest generation that fate shall permit the world to know.",,,non_metaphor,,,,,,,,,,,reviewed,codex-coder-b
lincoln-reliability-v1,codex-coder-b,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,lincoln-lyceum-address_s01_p04_s06_lu009,it,it,en,9,"Theirs was the task (and nobly they performed it) to possess themselves, and through themselves us, of this goodly land, and to uprear upon its hills and its valleys a political edifice of liberty and equal rights; it is ours only to transmit these--the former unprofaned by the foot of an invader, the latter undecayed by the lapse of time and untorn by usurpation--to the latest generation that fate shall permit the world to know.",,,non_metaphor,,,,,,,,,,,reviewed,codex-coder-b
lincoln-reliability-v1,codex-coder-b,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,lincoln-lyceum-address_s01_p04_s06_lu010,to,to,en,10,"Theirs was the task (and nobly they performed it) to possess themselves, and through themselves us, of this goodly land, and to uprear upon its hills and its valleys a political edifice of liberty and equal rights; it is ours only to transmit these--the former unprofaned by the foot of an invader, the latter undecayed by the lapse of time and untorn by usurpation--to the latest generation that fate shall permit the world to know.",,,non_metaphor,,,,,,,,,,,reviewed,codex-coder-b
