mipvu_id,case_id,document_id,sentence_id,lexical_unit,lemma,decision_type,review_status,contextual_meaning,basic_meaning,confidence,semantic_shift_risk,review_notes,source_path
lincoln-lyceum-address_s01_p01_s01_lu001,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,ADDRESS,address,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p01_s01_lu002,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,BEFORE,before,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p01_s01_lu003,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,THE,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p01_s01_lu004,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,YOUNG,young,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p01_s01_lu005,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,MEN'S,men's,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p01_s01_lu006,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,LYCEUM,lyceum,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p01_s01_lu007,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,OF,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p01_s01_lu008,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,SPRINGFIELD,springfield,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p01_s01_lu009,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p01_s01,ILLINOIS,illinois,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p02_s01_lu001,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p02_s01,January,january,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p02_s01_lu002,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p02_s01,27,27,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p02_s01_lu003,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p02_s01,1837,1837,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu001,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,As,as,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu002,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,a,a,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu003,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,subject,subject,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu004,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,for,for,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu005,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu006,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,remarks,remarks,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu007,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu008,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu009,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,evening,evening,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu010,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,The,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu011,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,Perpetuation,perpetuation,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu012,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu013,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,our,our,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu014,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,Political,political,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu015,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,Institutions,institutions,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu016,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,is,is,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu017,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,selected,selected,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
